feature,mean_abs_shap,pct
Gb,0.10698236386771305,32.67491679708828
tau_m,0.10648932505360702,32.524331208527435
z_init_3,0.035049191905161405,10.704843190064858
z_init_0,0.026815452676518966,8.19006659980849
z_nonseq_15,0.007140967443730602,2.181018521549345
p2,0.005092859433862815,1.5554784194757847
z_nonseq_7,0.003936171695250469,1.2021989231832473
z_nonseq_12,0.003631079046022153,1.1090164904108206
z_nonseq_14,0.0036251935903910213,1.1072189345697667
z_nonseq_6,0.0025313057686992893,0.7731200021202798
z_nonseq_0,0.002496923524692487,0.7626188604217413
z_nonseq_4,0.0024728482118082937,0.7552656966205786
z_nonseq_9,0.0024626959300773693,0.7521649522654741
z_nonseq_3,0.002063588271132645,0.6302681360273797
z_nonseq_1,0.0020217983538780735,0.6175045176151078
z_nonseq_11,0.0017522496242353446,0.5351780294405922
z_nonseq_10,0.0017007746916609162,0.5194563807669383
si,0.0016537052064980204,0.5050802587990113
z_nonseq_8,0.001477355771396544,0.4512190155918655
z_nonseq_2,0.0014315385549400832,0.43722536578393817
z_nonseq_13,0.0013968799171765502,0.42663980696581183
mi,0.001157809009603081,0.3536219586854467
z_init_2,0.0011250187995685836,0.343607061407975
z_init_1,0.0010874003653208353,0.3321175114985915
sg,0.0009934881716908536,0.30343453047111973
z_nonseq_5,0.0008263572300662069,0.2523888308401317
