experiment,target,n_train,pearson_r_train,spearman_r_train,r2_train,rmse_train,mae_train
v17_Exp1_Wang_Baseline,sspg,63,,,-2.9344996922607867,147.61563394212538,127.48369196475676
v17_Exp1_Wang_Baseline,di,63,,,-2.4260523247183254,2.0800957470765953,1.7503964023152736
v17_Exp2_GV_Baseline,sspg,63,0.3618265256082716,0.2929792763262525,-2.923622799711013,147.41145161681837,127.30243322099486
v17_Exp2_GV_Baseline,di,63,0.3974293880956999,0.41527956127655946,-2.9992849171279325,2.2473851297060796,1.994754125777122
v17_Exp3_VarMatch,sspg,63,0.35578434183564694,0.3244333700803413,-2.910217654395293,147.15941889807624,127.07836499455429
v17_Exp3_VarMatch,di,63,0.38237674286526335,0.435489097202745,-4.058444697977809,2.5275213542716983,2.2970461848788775
v17_Exp4_Ortho_16D,sspg,63,0.3618265256082716,0.2929792763262525,-2.923622799711013,147.41145161681837,127.30243322099486
v17_Exp4_Ortho_16D,di,63,0.3974293880956999,0.41527956127655946,-2.9992849171279325,2.2473851297060796,1.994754125777122
v17_Exp5_Finetune_16D,sspg,63,0.38835496412690085,0.3549270334907937,-2.9191746807168695,147.32786947147062,127.22336613446001
v17_Exp5_Finetune_16D,di,63,0.42151885959789814,0.46568339197132164,-3.0079272926660625,2.249812096645391,2.002132487305004
v17_Exp6_Combined,sspg,63,0.37995032850847144,0.3646273799615203,-2.9099361863169872,147.15412233559266,127.06865291273783
v17_Exp6_Combined,di,63,0.42579663556799724,0.4831327181213654,-4.1189126094500095,2.5425832870988967,2.3220892835192246
