target,feature,importance
sspg,z_init_0,31.924033460329223
sspg,z_nonseq_1,3.692777019739056
sspg,z_init_3,3.4080308000389645
sspg,z_nonseq_8,3.2680697284902487
sspg,z_nonseq_6,3.094828499716815
sspg,z_nonseq_14,2.8591610603188538
sspg,z_nonseq_5,1.8352565155647724
sspg,z_nonseq_4,1.0026431191226943
sspg,z_nonseq_3,0.7906832226198716
sspg,z_nonseq_9,0.6345634538896767
sspg,z_nonseq_11,0.5529447999423208
sspg,z_nonseq_7,0.4737007788856663
sspg,Gb,0.3728632162780453
sspg,z_nonseq_10,0.2785169037394056
sspg,si,0.1468519078366617
sspg,z_nonseq_12,0.1453075527650754
sspg,z_nonseq_0,0.1086316584713763
sspg,z_nonseq_13,0.0826504395867023
sspg,sg,0.0745224694481325
sspg,z_nonseq_15,0.0616708054404395
sspg,z_init_2,0.0538547583957659
sspg,z_nonseq_2,0.0493612736015927
sspg,z_init_1,0.0444115310714705
sspg,p2,0.0376283178105198
sspg,tau_m,0.0333917311707658
sspg,mi,0.0005632017799929
di,z_init_0,1.1970406125944872
di,z_nonseq_14,0.1354192004259841
di,z_init_3,0.1249195612551553
di,z_nonseq_1,0.1229451258524657
di,z_nonseq_6,0.1189589969794663
di,z_nonseq_8,0.1073920564484918
di,z_nonseq_5,0.0555114882782446
di,z_nonseq_11,0.0313320546322955
di,Gb,0.0272240043745442
di,z_nonseq_4,0.0231787217128402
di,z_nonseq_15,0.0169312952325337
di,z_nonseq_13,0.0053302636906652
di,mi,0.0044506553509083
di,z_nonseq_9,0.0042197340637006
di,z_nonseq_0,0.0041794106501771
di,z_nonseq_12,0.0040224918898284
di,z_nonseq_2,0.0038471756881386
di,z_init_2,0.0037309607706565
di,si,0.002789497295427
di,tau_m,0.0027843614273308
di,z_nonseq_3,0.001831970739182
di,p2,0.0016759336406338
di,z_init_1,0.0016549283812962
di,z_nonseq_10,0.0016488164590881
di,sg,0.0009940622720009
di,z_nonseq_7,0.0008363031191817
